epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.238,1.9724,3.83662,1.83295,0.02029,0.44841,0.04763,0.02513,1.61154,3.86118,1.73608,8.459e-05,8.459e-05,8.459e-05
2,195.037,1.39833,3.55733,1.3571,0.03554,0.99603,0.14402,0.08788,1.22321,3.3421,1.13529,0.000175119,0.000175119,0.000175119
3,277.518,1.29589,3.16578,1.24612,0.03515,1,0.15376,0.09394,1.28556,3.2269,1.15968,0.000263821,0.000263821,0.000263821
4,376.4,1.30757,2.97659,1.25029,0.03254,1,0.16916,0.10528,1.33062,3.01956,1.18419,0.000350696,0.000350696,0.000350696
5,471.383,1.29766,2.76288,1.24201,0.09529,0.98779,0.22149,0.14072,1.29292,2.92781,1.17549,0.000435743,0.000435743,0.000435743
6,562.195,1.28505,2.56576,1.26266,0.27563,0.54365,0.30364,0.18821,1.35145,2.35632,1.18723,0.000518963,0.000518963,0.000518963
7,644.871,1.31682,2.36492,1.28776,0.31263,0.72235,0.34964,0.21014,1.29305,2.28502,1.17493,0.000600357,0.000600357,0.000600357
8,726.433,1.3535,2.30462,1.34662,0.38413,0.68853,0.42275,0.24836,1.38909,2.11218,1.2996,0.000679923,0.000679923,0.000679923
9,807.983,1.30319,2.14704,1.30256,0.32201,0.65755,0.4874,0.30521,1.30686,2.22443,1.33704,0.000708095,0.000708095,0.000708095
10,890.853,1.32378,2.04342,1.32197,0.50539,0.67294,0.55239,0.32776,1.37949,1.83134,1.30082,0.000700482,0.000700482,0.000700482
11,974.527,1.3318,1.94282,1.32396,0.59719,0.51268,0.60995,0.37041,1.29848,1.73229,1.2822,0.000692869,0.000692869,0.000692869
12,1056.77,1.29,1.756,1.28731,0.49611,0.69301,0.63825,0.3913,1.30649,1.62589,1.29745,0.000685256,0.000685256,0.000685256
13,1151.64,1.28961,1.69774,1.2976,0.61449,0.82937,0.76714,0.4755,1.31384,1.47696,1.28161,0.000677643,0.000677643,0.000677643
14,1246.01,1.28534,1.63984,1.31264,0.57646,0.8971,0.78392,0.4845,1.28425,1.39834,1.28472,0.00067003,0.00067003,0.00067003
15,1340.35,1.30425,1.55734,1.29722,0.68259,0.85288,0.82023,0.51939,1.27991,1.32695,1.27387,0.000662417,0.000662417,0.000662417
16,1434.32,1.27477,1.46839,1.29252,0.70967,0.94788,0.85225,0.53384,1.32371,1.25345,1.31397,0.000654804,0.000654804,0.000654804
17,1521.53,1.28266,1.41731,1.30399,0.73071,0.84558,0.86775,0.55063,1.30624,1.30458,1.28012,0.00064719,0.00064719,0.00064719
18,1607.06,1.27832,1.36512,1.27687,0.81921,0.70928,0.86047,0.55064,1.32565,1.3613,1.26075,0.000639577,0.000639577,0.000639577
19,1727.72,1.27688,1.31581,1.2695,0.76396,0.89456,0.90605,0.54825,1.37215,1.19732,1.31412,0.000631964,0.000631964,0.000631964
20,1846.49,1.23405,1.28625,1.26533,0.76461,0.91822,0.91356,0.59666,1.23623,1.12283,1.24223,0.000624351,0.000624351,0.000624351
21,1946.31,1.23997,1.26373,1.23949,0.79963,0.89479,0.90597,0.58371,1.25538,1.15253,1.26603,0.000616738,0.000616738,0.000616738
22,2035.75,1.23982,1.20831,1.26972,0.81711,0.93125,0.89794,0.58265,1.25302,1.11642,1.29231,0.000609125,0.000609125,0.000609125
23,2140.53,1.25715,1.18252,1.23906,0.8052,0.86877,0.88906,0.57598,1.27669,1.11295,1.28775,0.000601512,0.000601512,0.000601512
24,2247.88,1.252,1.15605,1.25033,0.84567,0.75771,0.89238,0.55067,1.33572,1.23861,1.2916,0.000593899,0.000593899,0.000593899
25,2337.09,1.24801,1.105,1.23394,0.81624,0.89746,0.93555,0.58623,1.32682,1.18804,1.28078,0.000586286,0.000586286,0.000586286
26,2455.58,1.24465,1.16485,1.25788,0.85138,0.92766,0.95034,0.61654,1.23315,1.02573,1.23346,0.000578672,0.000578672,0.000578672
27,2572.97,1.21967,1.06562,1.23801,0.85129,0.9406,0.94866,0.60057,1.31743,1.0015,1.26286,0.000571059,0.000571059,0.000571059
