epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.4167,1.30809,2.5581,1.31708,0.37139,0.72222,0.44012,0.29196,1.29004,2.15364,1.22461,6.921e-05,6.921e-05,6.921e-05
2,61.9637,1.27924,2.4988,1.26992,0.36579,0.6615,0.43333,0.2777,1.34116,2.38319,1.16904,0.000145146,0.000145146,0.000145146
3,90.2424,1.2983,2.44022,1.27403,0.45659,0.5047,0.46603,0.28144,1.44807,2.5633,1.23894,0.000220066,0.000220066,0.000220066
4,119.19,1.27417,2.27639,1.24853,0.46777,0.51776,0.45739,0.28931,1.36717,2.51123,1.21302,0.000293972,0.000293972,0.000293972
5,149.868,1.35419,2.27457,1.29632,0.37947,0.65628,0.47926,0.2991,1.39944,2.32036,1.22296,0.000366862,0.000366862,0.000366862
6,173.598,1.37497,2.22966,1.33558,0.38725,0.6821,0.52959,0.31141,1.43876,2.17415,1.27079,0.000438738,0.000438738,0.000438738
7,199.64,1.35214,2.14278,1.33669,0.35927,0.69498,0.6312,0.36229,1.51754,1.98461,1.39665,0.000509598,0.000509598,0.000509598
8,224.151,1.37331,2.10994,1.32886,0.46476,0.69841,0.68066,0.38609,1.56393,1.87523,1.47217,0.000579443,0.000579443,0.000579443
9,252.739,1.33612,2.03913,1.33372,0.6003,0.65116,0.70208,0.40248,1.54822,1.86668,1.45896,0.000648273,0.000648273,0.000648273
10,282.142,1.3567,2.00332,1.35869,0.52572,0.70148,0.69289,0.3968,1.53586,1.83605,1.44959,0.000716088,0.000716088,0.000716088
11,310.382,1.33984,2.00711,1.3469,0.55981,0.74408,0.68304,0.43617,1.38206,1.8763,1.36909,0.000718246,0.000718246,0.000718246
12,342.68,1.32063,1.87626,1.32687,0.5404,0.70729,0.72608,0.4743,1.35062,1.81507,1.33012,0.000713171,0.000713171,0.000713171
13,368.703,1.34161,1.86922,1.33979,0.5404,0.70729,0.72608,0.4743,1.35062,1.81507,1.33012,0.000708095,0.000708095,0.000708095
14,393.662,1.33442,1.77275,1.34946,0.59433,0.7332,0.76328,0.45249,1.45654,1.68717,1.3655,0.00070302,0.00070302,0.00070302
15,417.273,1.35813,1.75298,1.32281,0.58171,0.76984,0.75969,0.37065,1.78098,1.60552,1.49788,0.000697944,0.000697944,0.000697944
16,440.484,1.29689,1.68618,1.31296,0.62957,0.71935,0.7822,0.35011,1.85399,1.62446,1.53928,0.000692869,0.000692869,0.000692869
17,464.551,1.31929,1.6617,1.3164,0.62957,0.71935,0.7822,0.35011,1.85399,1.62446,1.53928,0.000687794,0.000687794,0.000687794
18,492.246,1.32803,1.58138,1.32391,0.59124,0.83874,0.80207,0.42884,1.56777,1.54364,1.34404,0.000682718,0.000682718,0.000682718
19,520.912,1.32968,1.53064,1.31805,0.64646,0.84348,0.83689,0.49462,1.42237,1.5049,1.28324,0.000677643,0.000677643,0.000677643
20,551.232,1.31639,1.56638,1.32508,0.76837,0.81885,0.84783,0.50927,1.44657,1.44165,1.31042,0.000672567,0.000672567,0.000672567
21,584.052,1.32228,1.46191,1.33121,0.66989,0.91811,0.86171,0.51562,1.47831,1.33091,1.37919,0.000667492,0.000667492,0.000667492
22,613.8,1.332,1.44168,1.34976,0.66989,0.91811,0.86171,0.51562,1.47831,1.33091,1.37919,0.000662417,0.000662417,0.000662417
23,646.7,1.32747,1.47445,1.33035,0.68519,0.86084,0.85347,0.51469,1.43609,1.31119,1.36894,0.000657341,0.000657341,0.000657341
24,679.669,1.32347,1.47218,1.32449,0.71704,0.86213,0.86521,0.54983,1.36664,1.35165,1.35344,0.000652266,0.000652266,0.000652266
25,710.031,1.26694,1.38827,1.32919,0.73231,0.8231,0.89964,0.57401,1.35071,1.43992,1.30215,0.00064719,0.00064719,0.00064719
26,741.232,1.27281,1.37539,1.30555,0.73231,0.8231,0.89964,0.57401,1.35071,1.43992,1.30215,0.000642115,0.000642115,0.000642115
27,765.325,1.29265,1.29916,1.29028,0.76498,0.85616,0.95101,0.57388,1.45299,1.40453,1.31621,0.00063704,0.00063704,0.00063704
28,792.399,1.26457,1.33385,1.2842,0.72284,0.8678,0.94353,0.53916,1.54693,1.43151,1.35191,0.000631964,0.000631964,0.000631964
29,818.616,1.30666,1.3126,1.28117,0.74579,0.87848,0.92312,0.56017,1.46174,1.34283,1.31333,0.000626889,0.000626889,0.000626889
30,842.257,1.25589,1.25585,1.27538,0.74579,0.87848,0.92312,0.56017,1.46174,1.34283,1.31333,0.000621813,0.000621813,0.000621813
31,865.435,1.24532,1.21357,1.2631,0.71518,0.89217,0.89934,0.54468,1.47564,1.25462,1.36153,0.000616738,0.000616738,0.000616738
32,891.14,1.23392,1.20677,1.25467,0.74899,0.89133,0.90227,0.56886,1.39924,1.20422,1.32938,0.000611663,0.000611663,0.000611663
33,918.285,1.28803,1.24135,1.28071,0.86109,0.857,0.9313,0.58748,1.37408,1.13596,1.30906,0.000606587,0.000606587,0.000606587
34,951.745,1.32176,1.32,1.31408,0.92991,0.91356,0.9598,0.59231,1.43378,1.04435,1.32293,0.000601512,0.000601512,0.000601512
35,983.209,1.22942,1.15864,1.22629,0.92991,0.91356,0.9598,0.59231,1.43378,1.04435,1.32293,0.000596436,0.000596436,0.000596436
36,1006.73,1.27882,1.16535,1.26285,0.92531,0.94607,0.97542,0.55849,1.52668,1.02002,1.36973,0.000591361,0.000591361,0.000591361
37,1031.3,1.31284,1.23095,1.32549,0.93732,0.94692,0.9801,0.58008,1.46965,0.92379,1.34125,0.000586286,0.000586286,0.000586286
38,1055.33,1.23863,1.14731,1.25403,0.96239,0.94565,0.98307,0.6147,1.37357,0.88355,1.27453,0.00058121,0.00058121,0.00058121
39,1078.95,1.21596,1.12946,1.25994,0.96239,0.94565,0.98307,0.6147,1.37357,0.88355,1.27453,0.000576135,0.000576135,0.000576135
40,1101.77,1.24296,1.17239,1.27973,0.96036,0.94236,0.98504,0.62083,1.37909,0.90868,1.27639,0.000571059,0.000571059,0.000571059
41,1133.82,1.24784,1.15782,1.26655,0.90966,0.96197,0.98342,0.62663,1.35768,0.88166,1.24509,0.000565984,0.000565984,0.000565984
42,1164.18,1.23075,1.15266,1.265,0.93626,0.92479,0.9803,0.62692,1.39782,0.91811,1.26625,0.000560909,0.000560909,0.000560909
43,1192.78,1.24898,1.10596,1.23961,0.93626,0.92479,0.9803,0.62692,1.39782,0.91811,1.26625,0.000555833,0.000555833,0.000555833
44,1220.43,1.22096,1.13322,1.22889,0.93402,0.93736,0.98118,0.62313,1.40886,0.92421,1.26334,0.000550758,0.000550758,0.000550758
45,1248.12,1.19084,1.0247,1.22685,0.92405,0.94402,0.98389,0.63032,1.36933,0.89615,1.22411,0.000545682,0.000545682,0.000545682
46,1278.2,1.25713,1.09253,1.28764,0.96151,0.94026,0.98858,0.62418,1.39444,0.86437,1.24053,0.000540607,0.000540607,0.000540607
47,1306.71,1.25678,1.00936,1.22712,0.97316,0.95592,0.99029,0.61693,1.40385,0.84146,1.26739,0.000535532,0.000535532,0.000535532
48,1334.3,1.24032,1.09572,1.27821,0.97316,0.95592,0.99029,0.61693,1.40385,0.84146,1.26739,0.000530456,0.000530456,0.000530456
49,1362.73,1.24821,1.07088,1.26572,0.9573,0.97969,0.99223,0.62044,1.39581,0.82395,1.26593,0.000525381,0.000525381,0.000525381
50,1395.78,1.23132,1.03296,1.22915,0.94132,0.96146,0.99014,0.62508,1.40642,0.85045,1.25194,0.000520305,0.000520305,0.000520305
51,1428.57,1.16994,0.98618,1.21464,0.90006,0.95488,0.98283,0.63182,1.35374,0.86048,1.21433,0.00051523,0.00051523,0.00051523
52,1461.87,1.21593,1.04467,1.228,0.90006,0.95488,0.98283,0.63182,1.35374,0.86048,1.21433,0.000510155,0.000510155,0.000510155
53,1493.67,1.20266,1.00529,1.17023,0.91324,0.95243,0.98397,0.6341,1.35084,0.85915,1.21678,0.000505079,0.000505079,0.000505079
54,1524.21,1.20168,0.98609,1.20404,0.91827,0.95734,0.99029,0.6298,1.38201,0.84056,1.24406,0.000500004,0.000500004,0.000500004
55,1555.45,1.16969,0.94945,1.19935,0.96616,0.96146,0.9921,0.6087,1.45103,0.81556,1.31114,0.000494928,0.000494928,0.000494928
56,1587.68,1.18907,1.0037,1.20287,0.96616,0.96146,0.9921,0.6087,1.45103,0.81556,1.31114,0.000489853,0.000489853,0.000489853
57,1619.86,1.16671,0.93246,1.19594,0.98644,0.96948,0.99347,0.56551,1.60483,0.833,1.42291,0.000484778,0.000484778,0.000484778
58,1651.66,1.1657,0.93537,1.21247,0.97108,0.98607,0.99448,0.57405,1.5629,0.81574,1.38386,0.000479702,0.000479702,0.000479702
59,1683.08,1.16868,0.91616,1.19422,0.96818,0.98315,0.99396,0.61926,1.42647,0.76854,1.29581,0.000474627,0.000474627,0.000474627
60,1712.64,1.20917,0.98892,1.27355,0.97692,0.97937,0.99396,0.61844,1.44755,0.77277,1.31216,0.000469551,0.000469551,0.000469551
61,1741.99,1.17829,0.90419,1.19289,0.97692,0.97937,0.99396,0.61844,1.44755,0.77277,1.31216,0.000464476,0.000464476,0.000464476
62,1771.07,1.13739,0.89476,1.18947,0.98103,0.97241,0.99344,0.62081,1.43581,0.78194,1.29526,0.000459401,0.000459401,0.000459401
63,1800.97,1.19256,0.94706,1.23654,0.96973,0.96976,0.99144,0.63093,1.37266,0.76106,1.25969,0.000454325,0.000454325,0.000454325
64,1830.25,1.16337,0.87275,1.21207,0.96597,0.96389,0.99092,0.63316,1.36464,0.77291,1.25976,0.00044925,0.00044925,0.00044925
65,1859.54,1.13746,0.95543,1.19738,0.96597,0.96389,0.99092,0.63316,1.36464,0.77291,1.25976,0.000444174,0.000444174,0.000444174
66,1887.83,1.12401,0.87251,1.19801,0.95819,0.96077,0.98941,0.63432,1.37687,0.79028,1.27213,0.000439099,0.000439099,0.000439099
67,1918.27,1.13006,0.86186,1.16235,0.97862,0.93365,0.98725,0.62011,1.41312,0.80568,1.30691,0.000434024,0.000434024,0.000434024
68,1946.69,1.1381,0.89537,1.17938,0.94127,0.97364,0.9888,0.59348,1.49806,0.81601,1.34915,0.000428948,0.000428948,0.000428948
69,1975.98,1.15091,0.91276,1.20624,0.94127,0.97364,0.9888,0.59348,1.49806,0.81601,1.34915,0.000423873,0.000423873,0.000423873
70,2000.23,1.11418,0.84445,1.16982,0.94071,0.98247,0.992,0.6103,1.44139,0.77758,1.31408,0.000418797,0.000418797,0.000418797
71,2023.15,1.11775,0.83499,1.16547,0.97969,0.92315,0.99148,0.62524,1.39619,0.77658,1.27237,0.000413722,0.000413722,0.000413722
72,2045.9,1.12853,0.87908,1.17928,0.95326,0.94902,0.99092,0.64277,1.36335,0.77966,1.23598,0.000408647,0.000408647,0.000408647
73,2068.68,1.12958,0.9004,1.17976,0.96768,0.94702,0.992,0.63191,1.36645,0.77556,1.2454,0.000403571,0.000403571,0.000403571
74,2092.02,1.11746,0.8298,1.17842,0.96768,0.94702,0.992,0.63191,1.36645,0.77556,1.2454,0.000398496,0.000398496,0.000398496
75,2113.86,1.13446,0.87617,1.18734,0.97372,0.96111,0.99448,0.63513,1.37811,0.76519,1.24882,0.00039342,0.00039342,0.00039342
76,2135.58,1.12483,0.86567,1.21907,0.9791,0.96081,0.99344,0.63043,1.38737,0.76023,1.26909,0.000388345,0.000388345,0.000388345
77,2157.37,1.09432,0.83265,1.17983,0.97517,0.97433,0.99396,0.60822,1.45103,0.75172,1.32575,0.00038327,0.00038327,0.00038327
78,2180.58,1.1214,0.88263,1.16742,0.97517,0.97433,0.99396,0.60822,1.45103,0.75172,1.32575,0.000378194,0.000378194,0.000378194
79,2203.82,1.10378,0.83664,1.17,0.98239,0.98028,0.99396,0.61244,1.45897,0.74609,1.331,0.000373119,0.000373119,0.000373119
80,2225.85,1.15123,0.85994,1.19122,0.98494,0.98708,0.99448,0.60593,1.4669,0.73736,1.34121,0.000368043,0.000368043,0.000368043
81,2248.65,1.09901,0.84987,1.17569,0.98613,0.9821,0.99396,0.59699,1.51257,0.73293,1.37509,0.000362968,0.000362968,0.000362968
