epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.3402,2.01353,3.86418,1.84639,0.03042,0.83333,0.07249,0.04153,1.3902,3.61644,1.39255,6.921e-05,6.921e-05,6.921e-05
2,136.592,1.44193,3.69171,1.41832,0.03521,1,0.15943,0.09439,1.19192,3.46472,1.19324,0.000144664,0.000144664,0.000144664
3,194.163,1.32673,3.30188,1.26505,0.03348,1,0.19103,0.11876,1.23292,3.21767,1.13665,0.000218594,0.000218594,0.000218594
4,258.521,1.2942,3.07007,1.25056,0.03411,0.99206,0.17925,0.11341,1.40902,3.13493,1.19683,0.000291003,0.000291003,0.000291003
5,320.39,1.30136,2.89763,1.25951,0.03396,1,0.19172,0.12024,1.41644,2.99389,1.21339,0.000361888,0.000361888,0.000361888
6,380.886,1.31826,2.72465,1.2551,0.4113,0.32937,0.23637,0.1483,1.34572,2.87927,1.18106,0.000431251,0.000431251,0.000431251
7,443.738,1.29867,2.58353,1.27475,0.41031,0.35471,0.28328,0.16181,1.49396,2.68951,1.25764,0.000499092,0.000499092,0.000499092
8,499.118,1.31054,2.45302,1.28086,0.4031,0.65873,0.34331,0.21113,1.41589,2.32322,1.19595,0.00056541,0.00056541,0.00056541
9,550.849,1.344,2.30674,1.30451,0.43612,0.65678,0.38382,0.23465,1.34282,2.25788,1.18266,0.000630205,0.000630205,0.000630205
10,603.357,1.33,2.17797,1.30493,0.42578,0.70035,0.41283,0.2466,1.37173,2.14037,1.23492,0.000693477,0.000693477,0.000693477
11,656.055,1.30959,2.0815,1.33159,0.34316,0.60714,0.44811,0.26382,1.42377,2.01197,1.30049,0.000692869,0.000692869,0.000692869
12,717.837,1.33938,1.95923,1.33652,0.32454,0.67802,0.51182,0.31103,1.38716,1.92125,1.28709,0.000685256,0.000685256,0.000685256
13,783.155,1.3027,1.86072,1.33064,0.36046,0.65218,0.5979,0.36548,1.34577,1.87942,1.3585,0.000677643,0.000677643,0.000677643
14,854.476,1.3321,1.78693,1.35517,0.33092,0.7583,0.61624,0.35615,1.46841,1.90775,1.39257,0.00067003,0.00067003,0.00067003
15,914.87,1.32184,1.728,1.33781,0.35504,0.73771,0.645,0.35462,1.53411,1.8992,1.41596,0.000662417,0.000662417,0.000662417
16,975.336,1.30212,1.63033,1.32595,0.41884,0.80077,0.6738,0.37792,1.56964,1.91433,1.46436,0.000654804,0.000654804,0.000654804
17,1038.33,1.25093,1.56844,1.28703,0.53337,0.76401,0.73902,0.4304,1.51265,1.70444,1.44936,0.00064719,0.00064719,0.00064719
18,1098.93,1.25707,1.54415,1.27739,0.70422,0.81513,0.81252,0.51813,1.27689,1.40366,1.34681,0.000639577,0.000639577,0.000639577
