epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1446.83,1.26818,0.6911,1.21971,0.99929,1,0.995,0.57149,1.42458,0.69921,1.19539,0.0011684,0.0011684,0.0011684
44,1479.06,1.21811,0.68782,1.20196,0.99926,1,0.995,0.54424,1.53806,0.71905,1.22203,0.0011486,0.0011486,0.0011486
45,1511.48,1.17273,0.65579,1.18364,0.99926,1,0.995,0.54424,1.53806,0.71905,1.22203,0.0011288,0.0011288,0.0011288
46,1543.95,1.24015,0.69356,1.21615,0.99933,1,0.995,0.58012,1.4598,0.66982,1.19923,0.001109,0.001109,0.001109
47,1576.55,1.23245,0.65334,1.16584,0.99937,1,0.995,0.59159,1.39358,0.63812,1.23787,0.0010892,0.0010892,0.0010892
48,1609.76,1.25115,0.67558,1.22847,0.99123,0.99194,0.99468,0.57448,1.42908,0.63674,1.30509,0.0010694,0.0010694,0.0010694
49,1642.03,1.19153,0.67177,1.20241,0.99935,1,0.995,0.58064,1.4421,0.63987,1.2987,0.0010496,0.0010496,0.0010496
50,1674.53,1.19478,0.66386,1.19839,0.99934,1,0.995,0.58524,1.44005,0.6358,1.2436,0.0010298,0.0010298,0.0010298
51,1707.03,1.20006,0.65611,1.20565,0.99934,1,0.995,0.58524,1.44005,0.6358,1.2436,0.00101,0.00101,0.00101
52,1739.43,1.21807,0.65634,1.18311,0.99928,1,0.995,0.5809,1.43126,0.6311,1.232,0.0009902,0.0009902,0.0009902
53,1771.97,1.22075,0.66059,1.15686,0.99918,1,0.995,0.57665,1.45592,0.63473,1.26516,0.0009704,0.0009704,0.0009704
54,1804.44,1.18925,0.64104,1.17124,0.99909,1,0.995,0.57139,1.48728,0.65598,1.31154,0.0009506,0.0009506,0.0009506
55,1836.12,1.19795,0.67235,1.19293,0.99101,1,0.9946,0.58809,1.44738,0.66321,1.2787,0.0009308,0.0009308,0.0009308
56,1868.21,1.25518,0.65032,1.20403,0.99128,1,0.995,0.58985,1.41139,0.65561,1.22259,0.000911,0.000911,0.000911
57,1900.57,1.19321,0.65178,1.18338,0.99128,1,0.995,0.58985,1.41139,0.65561,1.22259,0.0008912,0.0008912,0.0008912
58,1932.98,1.17825,0.65309,1.18719,0.99788,1,0.995,0.58605,1.42726,0.63732,1.20588,0.0008714,0.0008714,0.0008714
59,1965.4,1.17534,0.62764,1.16747,0.99858,1,0.995,0.58189,1.45587,0.62211,1.21933,0.0008516,0.0008516,0.0008516
60,1998.03,1.22801,0.66667,1.23736,0.99732,1,0.995,0.58353,1.43101,0.60802,1.22916,0.0008318,0.0008318,0.0008318
61,2029.26,1.17473,0.61601,1.16584,0.9979,1,0.995,0.59331,1.40131,0.60906,1.24869,0.000812,0.000812,0.000812
62,2061.63,1.14352,0.62954,1.15779,0.99123,0.99194,0.99298,0.56636,1.43679,0.63302,1.29432,0.0007922,0.0007922,0.0007922
63,2093.63,1.16682,0.63847,1.1982,0.99123,0.99194,0.99298,0.56636,1.43679,0.63302,1.29432,0.0007724,0.0007724,0.0007724
64,2124.89,1.16288,0.62302,1.18511,0.99142,0.99194,0.99371,0.57566,1.4263,0.62841,1.28971,0.0007526,0.0007526,0.0007526
65,2157.42,1.15413,0.62454,1.17351,0.9914,0.99194,0.99282,0.58446,1.40424,0.61032,1.25401,0.0007328,0.0007328,0.0007328
66,2189.78,1.14245,0.62454,1.2043,0.99942,1,0.995,0.59345,1.40693,0.60266,1.21894,0.000713,0.000713,0.000713
67,2221.66,1.16688,0.61546,1.15814,0.99944,1,0.995,0.59538,1.40268,0.60015,1.2017,0.0006932,0.0006932,0.0006932
68,2253.52,1.1337,0.60267,1.15566,0.99943,1,0.995,0.60558,1.40837,0.6024,1.19212,0.0006734,0.0006734,0.0006734
69,2285.78,1.1245,0.61582,1.17337,0.99943,1,0.995,0.60558,1.40837,0.6024,1.19212,0.0006536,0.0006536,0.0006536
70,2318.19,1.14216,0.62165,1.18457,0.98876,0.99194,0.99484,0.61035,1.41756,0.59983,1.19697,0.0006338,0.0006338,0.0006338
71,2350.57,1.14028,0.59252,1.14205,0.98933,0.99194,0.99161,0.60262,1.42688,0.59205,1.21266,0.000614,0.000614,0.000614
72,2382.95,1.13687,0.61309,1.15064,0.9913,0.99194,0.98952,0.59086,1.43704,0.58054,1.22798,0.0005942,0.0005942,0.0005942
73,2415.63,1.14546,0.6173,1.16571,0.99937,1,0.995,0.57334,1.46189,0.57305,1.23195,0.0005744,0.0005744,0.0005744
74,2447.49,1.11494,0.60819,1.14738,0.99941,1,0.995,0.56622,1.49163,0.57253,1.23982,0.0005546,0.0005546,0.0005546
75,2479.46,1.13293,0.61888,1.17441,0.99941,1,0.995,0.56622,1.49163,0.57253,1.23982,0.0005348,0.0005348,0.0005348
76,2511.7,1.09063,0.58745,1.15749,0.99938,1,0.995,0.56857,1.50376,0.58176,1.23398,0.000515,0.000515,0.000515
77,2543.73,1.13029,0.59127,1.17025,0.99867,1,0.995,0.56983,1.51386,0.58693,1.22793,0.0004952,0.0004952,0.0004952
78,2574.9,1.12777,0.57572,1.17131,0.99885,1,0.995,0.5612,1.56802,0.59599,1.23587,0.0004754,0.0004754,0.0004754
79,2607.22,1.12777,0.5925,1.14513,0.99911,1,0.995,0.56316,1.56343,0.59297,1.23396,0.0004556,0.0004556,0.0004556
80,2639.52,1.09511,0.59034,1.1367,0.99949,1,0.995,0.57682,1.51841,0.58171,1.22873,0.0004358,0.0004358,0.0004358
81,2671.66,1.10698,0.57221,1.14962,0.99949,1,0.995,0.57682,1.51841,0.58171,1.22873,0.000416,0.000416,0.000416
82,2704.21,1.09879,0.57803,1.1382,1,0.99901,0.995,0.58604,1.48554,0.57048,1.24606,0.0003962,0.0003962,0.0003962
83,2736.66,1.12984,0.56784,1.16771,0.99968,1,0.995,0.56972,1.4779,0.56845,1.26919,0.0003764,0.0003764,0.0003764
84,2768.07,1.13621,0.59486,1.17833,0.99972,1,0.995,0.5617,1.4792,0.56859,1.27447,0.0003566,0.0003566,0.0003566
85,2800.4,1.06591,0.57743,1.12565,1,0.99695,0.995,0.56262,1.47194,0.56293,1.26813,0.0003368,0.0003368,0.0003368
86,2832.93,1.1151,0.58502,1.14537,1,0.99834,0.995,0.56034,1.46872,0.56402,1.26472,0.000317,0.000317,0.000317
87,2865.29,1.13622,0.59907,1.1717,1,0.99834,0.995,0.56034,1.46872,0.56402,1.26472,0.0002972,0.0002972,0.0002972
88,2897.52,1.10043,0.56611,1.15413,1,0.99785,0.995,0.57147,1.45497,0.56658,1.261,0.0002774,0.0002774,0.0002774
89,2929.18,1.07072,0.57774,1.15152,1,0.9988,0.995,0.57635,1.44336,0.56481,1.25539,0.0002576,0.0002576,0.0002576
90,2961.93,1.08342,0.55994,1.12786,0.99858,1,0.995,0.57905,1.43843,0.56429,1.25957,0.0002378,0.0002378,0.0002378
91,2992.7,1.03854,0.55455,1.12276,0.99797,1,0.995,0.58358,1.43385,0.56259,1.2662,0.000218,0.000218,0.000218
92,3024.44,1.03297,0.56808,1.11167,0.99756,1,0.995,0.58119,1.4288,0.56546,1.26892,0.0001982,0.0001982,0.0001982
93,3055.41,1.02061,0.53436,1.09886,0.99756,1,0.995,0.58119,1.4288,0.56546,1.26892,0.0001784,0.0001784,0.0001784
94,3087.24,1.03396,0.5604,1.12349,0.99722,1,0.995,0.57804,1.43177,0.56709,1.28249,0.0001586,0.0001586,0.0001586
95,3118.7,1.01161,0.52335,1.09265,0.99754,1,0.995,0.57506,1.43856,0.57111,1.29719,0.0001388,0.0001388,0.0001388
96,3150.38,1.00771,0.53735,1.10785,0.99712,1,0.995,0.57519,1.44707,0.5718,1.30788,0.000119,0.000119,0.000119
97,3181.24,1.01119,0.52606,1.09186,0.99731,1,0.995,0.5653,1.45463,0.57748,1.31215,9.92e-05,9.92e-05,9.92e-05
98,3213.03,1.01514,0.52849,1.09028,0.99721,1,0.995,0.56113,1.45953,0.58045,1.31136,7.94e-05,7.94e-05,7.94e-05
99,3244.29,1.00203,0.50886,1.09217,0.99721,1,0.995,0.56113,1.45953,0.58045,1.31136,5.96e-05,5.96e-05,5.96e-05
100,3276.1,0.97964,0.52103,1.10775,0.99777,1,0.995,0.56165,1.46121,0.58265,1.31101,3.98e-05,3.98e-05,3.98e-05
